Place of interest,Place address,BiciMAD station,Station location,Bikes_available
Escuela de Tiempo Libre La Escalera,Calle Andrés Mellado 31 Local 19,Fernando el Católico,Calle Fernando el Católico nº 61,15
Escuela de Tiempo Libre La Frontera,Plaza Tubilla 7 -8 Posterior,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela de Tiempo Libre Magni,Calle Humanes 3 Local 1,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Escuela de Tiempo Libre Masi,Calle Via Carpetana 180 Local,Caramuel,Calle Caramuel nº 51,5
Escuela de Tiempo Libre Mirabilia,Calle Gran Via 46 Planta 11 C,Miguel Moya,Calle Miguel Moya nº 1,0
Escuela de Tiempo Libre Nuestra Señora del Recuerdo,Plaza Duque De Pastrana 5,Chamartín,Calle Rodríguez Jaén nº 40,7
Escuela de Tiempo Libre Padre Carlos,Calle Virgen Del Val 1,Avenida Donostiarra,Calle Virgen de la Alegría nº 18,16
Escuela de Tiempo Libre Peñas Blancas,Avenida Portugal 99 Local Izquierda,Puerta del Ángel,Plaza Puerta del Ángel nº 4,14
Escuela de Tiempo Libre Santa Bárbara,Plaza Paja 4,Plaza de los Carros,Carrera de San Francisco nº 1,12
Escuela de Tiempo Libre Scouts de Madrid MSC,Calle Entre Arroyos 19 Bis,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Escuela de Tiempo Libre Shema,Calle General Ricardos 21 Planta Bajo C,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela de Tiempo Libre Skholé,Calle Escalona 59 Colegio Santa Gema,Caramuel,Calle Caramuel nº 51,5
Escuela de Tiempo Libre YMCA,Calle Alba De Tormes 10,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela de arte dramático SOM Academy,Calle Doctor Castelo 7,Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Escuela de formación específica Imagen para el diagnóstico Hospital Clínico San Carlos,Calle Profesor Martin Lagos 2,Hospital Clínico,Calle Isaac Peral nº 44,4
Escuela de música Colegio Fuentelarreyna,Calle Ramon Gomez De La Serna 24,Facultad Derecho,Avenida Complutense nº 23,8
Escuela de música Musical Marisa,Calle Alcala 126,Mártires Concepcionistas,Calle Mártires Concepcionistas nº 2,6
Escuela de música Musical Marti,Calle Fermin Caballero 53,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela de música Musical Silvela,Calle Francisco Silvela 7,Ortega y Gasset 87,Calle Ortega y Gasset nº 87,1
Escuela de música Musiclaret Innovación Musical,Calle Corazon De Maria 1,Avenida de América 1,Calle Padre Indalecio Hernández nº 1,2
Escuela infantil El Nido del Buho,Calle Donoso Cortes 8,Quevedo,Glorieta de Quevedo nº 5,14
"Escuela infantil ISM Preschool, S.L.",Calle Rosa Jardon 1,Pío XII,Avenida Pío XII nº 3,17
Escuela infantil San Marcos American Preschool Madrid,Calle Melendez Valdes 36,Guzmán el Bueno,Calle Guzmán el Bueno nº 1,7
Escuela infantil municipal Agua Dulce,Calle Leñeros 25,Pablo Iglesias,Calle Francisco Balseiro nº 1,1
Escuela infantil municipal Altair,Calle Jose De Cadalso 43,Caramuel,Calle Caramuel nº 51,5
Escuela infantil municipal Amanecer,Calle Titanio 7,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela infantil municipal Ana de Austria,Calle Ana De Austria 32,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela infantil municipal Antonio Mercero,Avenida Valladolid 49,Paseo de Moret,Paseo de Moret nº 11,13
Escuela infantil municipal Campanilla,Calle Avila 4,Estrecho,Calle Navarra nº 1,0
Escuela infantil municipal Cielo Azul,Bulevar Indalecio Prieto 16,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela infantil municipal Doña Francisquita,Calle Cambados 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela infantil municipal El Alba,Calle Toledo 181,Pirámides,Calle Toledo nº 181,5
Escuela infantil municipal El Barberillo de Lavapiés,Calle Granito 32,Beata,Calle Alicante nº 3,12
Escuela infantil municipal El Bateo,Calle Pinos De Osuna 3,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela infantil municipal El Bosque,Calle Delicias 32,Batalla del Salado,Paseo Santa María de la Cabeza nº 29,13
Escuela infantil municipal El Caserío,Calle Maria Teresa Robledo 3,Concordia,Calle Arroyo del Olivar nº 6,21
Escuela infantil municipal El Duende,Calle Palma 36,Plaza de Juan Pujol,Calle Espíritu Santo nº 30,17
Escuela infantil municipal El Fresno,Calle Maria Casares 15,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela infantil municipal El Lirón,Calle Pico De Los Artilleros 123,Marroquina,Calle Camino de los Vinateros nº 108,16
Escuela infantil municipal El Mamut,Calle Ganados Del Salobral 7,Embajadores 191,Calle Sodio nº 1B,11
Escuela infantil municipal El Manantial,Calle Carlos Fuentes 2,Caramuel,Calle Caramuel nº 51,5
Escuela infantil municipal El Olivar,Calle Olivar 48,Jesús y María,Calle Lavapiés nº 34,10
Escuela infantil municipal El Rocío,Carretera Carabanchel A Villaverde 107,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela infantil municipal El Sol,Calle Enrique Jardiel Poncela 8,Pío XII,Avenida Pío XII nº 3,17
Escuela infantil municipal El Tren de Arganda,Plaza Doctor Laguna 11,Doce de Octubre,Calle Doce de Octubre nº 28,5
Escuela infantil municipal Escuelas de San Antón,Calle Farmacia 13,Colegio Arquitectos,Calle Hortaleza nº 63,0
Escuela infantil municipal Fernando el Católico,Calle Fernando El Catolico 16,Fernando el Católico,Calle Fernando el Católico nº 19,10
Escuela infantil municipal Gigantes y Cabezudos,Calle Rafael Bergamin 28,Condesa de Venadito,Calle Condesa de Venadito nº 2,10
Escuela infantil municipal Hiedra,Calle Amposta 34,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela infantil municipal José Gómez Gil,Calle Embalse De Pinilla 32,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela infantil municipal La Alegría de la Huerta,Calle Helsinki 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela infantil municipal La Ardilla,Calle Principe Carlos (C/V Pintor Ignacio Zuloaga) 1,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela infantil municipal La Bola de Cristal,Calle Islas Bisagos 13,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela infantil municipal La Brisa,Avenida Asturias 72,Remonta,Calle Azucenas nº 1,12
Escuela infantil municipal La Bruja Avería - Lolo Rico,Calle Rodas 20,Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,5
Escuela infantil municipal La Caracola,Calle Belorado 1,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela infantil municipal La Chulapona,Calle Bahia De Palma 13,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela infantil municipal La Colina,Calle Nuestra Señora De Araceli 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela infantil municipal La Cornisa,Calle Cristo De La Victoria 23,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela infantil municipal La Corte de Faraón,Calle Chantada 41,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela infantil municipal La Gran Vía,Calle Silvano 99,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela infantil municipal La Luna,Calle Benimamet 109,Embajadores 191,Calle Sodio nº 1B,11
Escuela infantil municipal La Melonera,Calle Eros 2,Méndez Álvaro,Calle Retama nº 5,13
Escuela infantil municipal La Oliva,Calle Gainza 46,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela infantil municipal La Paloma,Calle Tabernillas 2,Plaza de los Carros,Carrera de San Francisco nº 1,12
Escuela infantil municipal La Patria Chica,Calle Patrimonio De La Humanidad 31,Caramuel,Calle Caramuel nº 51,5
Escuela infantil municipal La Revoltosa,Calle Jose Antonio Rebolledo Y Palma 18,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela infantil municipal La Rosa del Azafrán,Calle Cueva De Montesinos 2,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela infantil municipal La Verbena de la Paloma,Calle Fuerte De Navidad 17,Caramuel,Calle Caramuel nº 51,5
Escuela infantil municipal La del Manojo de Rosas,Calle Ravena 12,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela infantil municipal La del Soto del Parral,Calle Trompas 19,Caramuel,Calle Caramuel nº 51,5
Escuela infantil municipal Las Amapolas,Calle Obolo 14,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela infantil municipal Las Azaleas,Calle Portugalete 6,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela infantil municipal Las Golondrinas,Calle Josefa Valcarcel 189,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela infantil municipal Las Leandras,Calle Deyanira 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela infantil municipal Las Mercedes,Calle Samaniego 22,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela infantil municipal Las Nubes,Calle Antonio Nebrija 7,Méndez Álvaro,Calle Méndez Álvaro nº 11,4
Escuela infantil municipal Las Pléyades,Avenida Secundino Zuazo 34,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela infantil municipal Las Viñas,Calle Estudio 6,Facultad Derecho,Avenida Complutense nº 23,8
Escuela infantil municipal Los Gavilanes,Calle Tiziano 7,Estrecho,Calle Navarra nº 1,0
Escuela infantil municipal Los Juncos,Plaza Juventud 7,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela infantil municipal Los Pinos,Calle Rocafort 2,Embajadores 191,Calle Sodio nº 1B,11
Escuela infantil municipal Los Sobrinos del Capitán Grant,Avenida La Gavia 22,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela infantil municipal Luis Bello,Calle Juan Bautista De Toledo 5,Prosperidad,Calle Suero de Quiñones nº 2,8
Escuela infantil municipal Luisa Fernanda,Calle Cocheron De La Villa 29,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela infantil municipal Margarita Salas,Calle Cavanilles 58,Valderribas,Calle Doctor Esquerdo nº 191,12
Escuela infantil municipal Molinos de Viento,Camino Fuente De Arriba 4,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela infantil municipal Muñeco de Nieve,Calle Enrique Urquijo 56,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela infantil municipal Osa Menor,Calle Mejia Lequerica 21,Barceló,Calle Barceló nº 7,19
Escuela infantil municipal Parque de Ingenieros,Calle La Tabernera Del Puerto 26,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela infantil municipal Pensamiento,Calle Mirasierra 27,Antonio López,Calle Eugenio Caxes frente al nº 12,18
Escuela infantil municipal Poeta Gloria Fuertes,Calle Eunate 6,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela infantil municipal Ruiz Jiménez,Calle Jose Picon 17,Diego de león,Calle Alonso Heredia nº 1,5
Escuela infantil municipal Sabina,Calle Cañón Del Rio Lobos 4,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela infantil municipal Tarabilla,Calle Gandhi 14,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
"Escuela infantil municipal Tetuán (Apertura prevista para el mes de enero de 2025, quedando condicionada a la recepción de las obras)",Paseo Direccion 305,Remonta,Calle Azucenas nº 1,12
Escuela infantil municipal VeoVeo,Calle Condesa De Venadito 3,Condesa de Venadito,Calle Condesa de Venadito nº 2,10
Escuela municipal de música Almudena Cano (Arganzuela),Pasaje Tortosa 4,Ronda de Atocha,Ronda de Atocha nº 2,11
Escuela municipal de música Antonio Machado (San Blas-Canillejas),Calle San Roman Del Valle 8,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela municipal de música Antón García Abril (Villaverde),Calle Doctor Martin Arevalo 2,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela municipal de música Carmelo Alonso Bernaola (Fuencarral-El Pardo),Avenida Soto Palacios 7,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela municipal de música Federico Chueca (Hortaleza),Calle Benita Avila 23,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela municipal de música Isaac Albéniz (Carabanchel),Calle Lonja De La Seda 4,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela municipal de música Maestro Barbieri (Usera),Calle Cestona 3,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela municipal de música Manuel Vázquez Montalbán (Tetuán),Calle Francos Rodriguez 67,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela municipal de música María Rodrigo (Chamartín),Calle Mantuano 51,Doctor Arce 45,Avenida del Doctor Arce nº 45,1
Escuela municipal de música Moratalaz,Calle Corregidor Diego De Valderrabano 66,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Escuela municipal de música Villa de Vallecas,Calle Agustin Garcia Malla 4,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela municipal de música de Vicálvaro,Bulevar Indalecio Prieto 16,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela municipal de música y danza Plácido Domingo (Retiro),Calle Tellez 31,Junta Municipal Retiro,Calle León Gil de Palacio nº 3,7
Escuela superior de música Forum Musikae,Calle Piquer 3,Pío XII,Avenida Pío XII nº 3,17
Escuelas Infantiles Municipales,Paseo Chopera 41,Entrada Matadero,Paseo de la Chopera nº 14,1
Esdip Escuela de Arte,Calle Santa Engracia 122 Planta Bajo,Santa Engracia 127,Calle Santa Engracia nº 127,10
Espacio de lectura Dolores Catarineu  (Moncloa-Aravaca),Calle Caroli 1,Facultad Derecho,Avenida Complutense nº 23,8
Espacio de lectura Parque del Oeste  (Moncloa-Aravaca),Calle Profesor Martin Almagro Basch,Pintor Rosales,Paseo del Pintor Rosales frente al nº 38,23
Extensión Escuela Oficial de Idiomas de Madrid - Ciudad Lineal en Barajas,Calle Antonio Sancha 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Extensión Escuela Oficial de Idiomas de Madrid - Moratalaz en Puente de Vallecas,Ronda Sur 229,Concordia,Calle Arroyo del Olivar nº 6,21
Extensión Escuela Oficial de Idiomas de Madrid - Villaverde en El Espinillo,Calle Alianza 20 Y 24,Embajadores 191,Calle Sodio nº 1B,11
Fundación Residencia de Estudiantes,Calle Pinar 21,Serrano 113,Calle Serrano nº 113B,8
Grupo CTO Centro de Formación,Calle Francisco Silvela 106,Avenida de América 2,Calle Francisco Silvela nº 86,3
Hospital Clínico San Carlos,Calle Profesor Martin Lagos 2,Hospital Clínico,Calle Isaac Peral nº 44,4
Hospital General Universitario Gregorio Marañón,Calle Doctor Esquerdo 46,Ibiza,Calle Ibiza nº 62,14
Hospital Infantil Universitario Niño Jesús,Avenida Menendez Pelayo 65,Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63,18
Hospital Universitario 12 de Octubre,Avenida Cordoba 41,Glorieta de Cádiz,Calle Antonio López nº 129,18
Hospital Universitario Infanta Leonor,Avenida Gran Via Del Este 80,Pavones,Calle Hacienda de Pavones nº 342,16
Hospital Universitario Ramón y Cajal,Calle San Modesto 50,Pedro Rico,Calle Pedro Rico nº 4,0
Hospital Universitario Santa Cristina,Calle Maestro Vives 3,O'Donnell,Calle O'Donnell nº 50,5
Hospital Universitario de  La Princesa,Calle Diego De Leon 62,Diego de león,Calle Alonso Heredia nº 1,5
Hospital Universitario la Paz,Paseo Castellana 261,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Hospital de Emergencias Enfermera Isabel Zendal,Avenida Manuel Fraga Iribarne 2,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
IADE Escuela de Diseño,Calle Claudio Coello 48,Claudio Coello,Calle Claudio Coello nº 45,6
ICEX-CECO Centro de Estudios Económicos y Comerciales,Avenida Cardenal Herrera Oria 378,Facultad Derecho,Avenida Complutense nº 23,8
IE Business School,Calle Maria De Molina 31,Velázquez 130,Calle Velázquez nº 130,4
IED Madrid Enseñanzas Profesionales,Calle Flor Alta 8,San Bernardo,Calle San Bernardo nº 22,17
IED Madrid Enseñanzas Profesionales II,Avenida Pedro Diez 3,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
IESE Madrid Business School,Camino Cerro Del Aguila 3,Facultad Derecho,Avenida Complutense nº 23,8
"ISED, Instituto Superior de Estudios (Atocha)",Calle Murcia 11 Planta 1.ª,Ronda de Atocha,Ronda de Atocha nº 2,11
"ISED, Instituto Superior de Estudios (Paseo de las Delicias)",Paseo Delicias 25,Palos de la Frontera,Calle Palos de la Frontera nº 27,7
Institución Profesional Salesiana,Ronda Don Bosco 3,Caramuel,Calle Caramuel nº 51,5
Instituto Europeo de Formación Profesional,Calle Gobelas 33,Facultad Derecho,Avenida Complutense nº 23,8
Instituto Gemológico Español,Calle Alenza 1,Santa Engracia 127,Calle Santa Engracia nº 127,10
Instituto Nebrija de Formación Profesional,Calle Joaquin Maria Lopez 60 Y 62,Cea Bermúdez,Calle Cea Bermúdez nº 59,4
Instituto Radio Televisión Española (Instituto RTVE),Carretera Dehesa De La Villa 14,Facultad Derecho,Avenida Complutense nº 23,8
Instituto Técnico de Estudios Profesionales,Calle Mendivil 6 - 10,Puente de Vallecas,Avenida de la Albufera nº 6,13
Instituto Técnico de Estudios Profesionales II,Calle Francisco Iglesias 17,Puente de Vallecas,Avenida de la Albufera nº 6,13
Instituto Vox,Calle Gran Via 59,San Bernardo,Calle San Bernardo nº 22,17
Instituto de Educación Secundaria (IES) Alameda de Osuna,Calle Antonio Sancha 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) Alfredo Kraus,Avenida Guadalajara 126,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) Ana Frank,Calle Arroyo De Pozuelo 1,Facultad Derecho,Avenida Complutense nº 23,8
Instituto de Educación Secundaria (IES) Antonio Domínguez Ortiz,Calle Andaluces 36,Pavones,Calle Hacienda de Pavones nº 342,16
Instituto de Educación Secundaria (IES) Antonio Fraguas 'Forges',Calle Alberche 10,Junta Municipal Retiro,Calle León Gil de Palacio nº 3,7
Instituto de Educación Secundaria (IES) Antonio Machado,Calle Alfonso Fernandez 25,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Instituto de Educación Secundaria (IES) Arcipreste de Hita,Ronda Sur 6,Méndez Álvaro,Calle Retama nº 5,13
Instituto de Educación Secundaria (IES) Arturo Soria,Calle Somontin 59,Pío XII,Avenida Pío XII nº 3,17
Instituto de Educación Secundaria (IES) Avenida de los Toreros,Avenida Toreros 57,Ventas,Avenida de los Toreros nº 49,9
Instituto de Educación Secundaria (IES) Barajas,Avenida America 119,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) Barrio Simancas,Calle Zaratan 6,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) Barrio de Bilbao,Calle Villaescusa 20,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) Beatriz Galindo,Calle Goya 10,Claudio Coello,Calle Claudio Coello nº 45,6
Instituto de Educación Secundaria (IES) Blas de Otero,Calle Maqueda 130,Caramuel,Calle Caramuel nº 51,5
Instituto de Educación Secundaria (IES) Calderón de la Barca,Calle Antonio De Leyva 84,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Instituto de Educación Secundaria (IES) Cardenal Cisneros,Calle Reyes 4,San Bernardo,Calle San Bernardo nº 22,17
Instituto de Educación Secundaria (IES) Cardenal Herrera Oria,Calle Fermin Caballero 68,Pedro Rico,Calle Pedro Rico nº 4,0
Instituto de Educación Secundaria (IES) Carlos III,Calle Arcos De Jalon 116,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) Carlos María Rodríguez Valcárcel,Plaza Encuentro 4,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Instituto de Educación Secundaria (IES) Celestino Mutis,Calle Huerta De Villaverde 15,Glorieta de Cádiz,Calle Antonio López nº 129,18
Instituto de Educación Secundaria (IES) Cervantes,Calle Embajadores 70,Embajadores 2,Glorieta de Embajadores nº 2,18
Instituto de Educación Secundaria (IES) Ciudad Escolar,Carretera Colmenar Viejo 12.800,Pedro Rico,Calle Pedro Rico nº 4,0
Instituto de Educación Secundaria (IES) Ciudad de Jaén,Camino Rio 5,Glorieta de Cádiz,Calle Antonio López nº 129,18
Instituto de Educación Secundaria (IES) Ciudad de los Poetas,Calle Valdesangil 25,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Instituto de Educación Secundaria (IES) Ciudad de los Ángeles,Calle Anoeta 16,Glorieta de Cádiz,Calle Antonio López nº 129,18
Instituto de Educación Secundaria (IES) Clara del Rey,Calle Padre Claret 8,Corazón de María,Calle Santa Hortensia nº 31,5
Instituto de Educación Secundaria (IES) Conde de Orgaz,Calle Napoles 56,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Instituto de Educación Secundaria (IES) Dámaso Alonso,Calle Alfredo Marquerie 21,Pedro Rico,Calle Pedro Rico nº 4,0
Instituto de Educación Secundaria (IES) Eijo y Garay,Calle Severino Aznar Embid 6,Caramuel,Calle Caramuel nº 51,5
Instituto de Educación Secundaria (IES) El Espinillo,Calle Unanimidad 15,Embajadores 191,Calle Sodio nº 1B,11
Instituto de Educación Secundaria (IES) El Lago,Paseo Puerta Del Angel 5,Puerta del Ángel,Plaza Puerta del Ángel nº 4,14
Instituto de Educación Secundaria (IES) Emilio Castelar,Calle Rio De Oro 4,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Instituto de Educación Secundaria (IES) Emperatriz María de Austria,Calle Antonio De Leyva 84,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Instituto de Educación Secundaria (IES) Enrique Tierno Galván,"Avenida Andalucia Km.6 Km 6,200",Glorieta de Cádiz,Calle Antonio López nº 129,18
Instituto de Educación Secundaria (IES) Escuela Superior de Hostelería y Turismo,Paseo Puerta Del Angel 5,Puerta del Ángel,Plaza Puerta del Ángel nº 4,14
Instituto de Educación Secundaria (IES) Escuela de la Vid,Ronda Provincias 5,Caramuel,Calle Caramuel nº 51,5
Instituto de Educación Secundaria (IES) Felipe II,Calle Valdebernardo 1,Pavones,Calle Hacienda de Pavones nº 342,16
Instituto de Educación Secundaria (IES) Fortuny,Calle Fortuny 24,Rubén Darío,Glorieta Rubén Darío 2,7
Instituto de Educación Secundaria (IES) Francisco Ayala,Calle Jacobeo 33,Caramuel,Calle Caramuel nº 51,5
Instituto de Educación Secundaria (IES) Francisco Tomás y Valiente,Calle Benita Avila 3,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Instituto de Educación Secundaria (IES) Francisco de Goya / La Elipa,Calle Santa Irene 4,Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,15
Instituto de Educación Secundaria (IES) Francisco de Quevedo,Calle San Roman Del Valle 6,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) Gabriel García Márquez,Calle Nevado Del Ruiz 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Instituto de Educación Secundaria (IES) García Morato,Calle General Saliquet 34,Caramuel,Calle Caramuel nº 51,5
Instituto de Educación Secundaria (IES) Gran Capitán,Paseo Melancolicos 51,Paseo Imperial,Paseo Imperial nº 20,12
Instituto de Educación Secundaria (IES) Gregorio Marañón,Avenida El Ferrol 43,Remonta,Calle Azucenas nº 1,12
Instituto de Educación Secundaria (IES) Gómez Moreno,Avenida Hellin 5,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) Hotel Escuela de la Comunidad de Madrid,Ronda Provisional Ciudad Escolar 7,Pedro Rico,Calle Pedro Rico nº 4,0
Instituto de Educación Secundaria (IES) Isaac Newton,Calle Joaquin Lorenzo 2,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Instituto de Educación Secundaria (IES) Isabel la Católica,Calle Alfonso Xii 3,Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,5
Instituto de Educación Secundaria (IES) Islas Filipinas,Calle Jesus Maestro 3,Parque Santander,Calle Santander esquina con Avenida de Filipinas,3
Instituto de Educación Secundaria (IES) Iturralde,Calle Nuestra Señora De La Luz 53,Caramuel,Calle Caramuel nº 51,5
Instituto de Educación Secundaria (IES) Jaime Vera,Calle Infanta Mercedes 47,San Germán 57,Calle San Germán nº 57,3
Instituto de Educación Secundaria (IES) Joaquín Rodrigo,Calle Casalarreina 28,Pavones,Calle Hacienda de Pavones nº 342,16
Instituto de Educación Secundaria (IES) Joaquín Turina,Calle Guzman El Bueno 92,San Francisco de Sales,Calle General Ampudia nº 2,8
Instituto de Educación Secundaria (IES) Juan Ramón Jiménez,Calle Estefanita 15,Embajadores 191,Calle Sodio nº 1B,11
Instituto de Educación Secundaria (IES) Juan de Villanueva,Calle Camino Viejo De Villaverde 28,Glorieta de Cádiz,Calle Antonio López nº 129,18
Instituto de Educación Secundaria (IES) Juan de la Cierva,Calle La Caoba 1,Paseo de la Esperanza,Paseo de la Esperanza nº 2,0
Instituto de Educación Secundaria (IES) Juana de Castilla,Calle Valdebernardo 3,Pavones,Calle Hacienda de Pavones nº 342,16
Instituto de Educación Secundaria (IES) La Estrella,Calle Estrella Polar 10,Plaza de los Astros,Avenida de Nazaret nº 7,5
Instituto de Educación Secundaria (IES) Las Musas,Calle Carlos Ii 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) Leonardo Da Vinci,Calle Blas Cabrera 90,Caramuel,Calle Caramuel nº 51,5
Instituto de Educación Secundaria (IES) Lope de Vega,Calle San Bernardo 70,San Vicente Ferrer,Calle San Vicente Ferrer nº 64,20
Instituto de Educación Secundaria (IES) Madrid Sur,Avenida Parque De Palomeras Bajas 22,Concordia,Calle Arroyo del Olivar nº 6,21
Instituto de Educación Secundaria (IES) Malala Yousafzai,Calle Sierra De Atapuerca 5,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Instituto de Educación Secundaria (IES) Manuel Fraga Iribarne,Avenida Niceto Alcala Zamora 54,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Instituto de Educación Secundaria (IES) Mariana Pineda,Calle Alcalde Garrido Juaristi 6,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Instituto de Educación Secundaria (IES) Mariano José de Larra,Calle Camarena 181,Caramuel,Calle Caramuel nº 51,5
Instituto de Educación Secundaria (IES) Marqués de Suanzes,Avenida Veinticinco De Septiembre 3,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) María Rodrigo,"Calle Talamanca Del Jarama, Esquina Granja De San Ildefonso ",Pavones,Calle Hacienda de Pavones nº 342,16
Instituto de Educación Secundaria (IES) María de Molina,Calle Mirabel 22,Caramuel,Calle Caramuel nº 51,5
Instituto de Educación Secundaria (IES) Miguel Delibes,Calle Villaescusa 17,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Instituto de Educación Secundaria (IES) Mirasierra,Calle Portera Del Cura 4,Pedro Rico,Calle Pedro Rico nº 4,0
Instituto de Educación Secundaria (IES) Moratalaz,Calle Corregidor Diego De Valderrabano 35,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Instituto de Educación Secundaria (IES) Nuestra Señora de la Almudena,Plaza Remonta 17,Remonta,Calle Azucenas nº 1,12
Instituto de Educación Secundaria (IES) Numancia,Calle Las Marismas 14,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
